Symbol,Old_Price_May26,Verdict,Trading_Pair,Exchange
ETH,2128.56,HOLD CORE,ETH/USDT,Unknown
HYPE,62.82,HOLD CORE,HYPE/USDT,Unknown
WSTETH,2560.0,HOLD CORE,WSTETH/USDT,Unknown
BTC,75744.55,HOLD CORE,BTC/USDT,Unknown
AAVE,86.83,HOLD CORE,AAVE/USDT,Unknown
UNI,3.375,HOLD CORE,UNI/USDT,Unknown
MKR,1813.7,HOLD CORE,MKR/USDT,Unknown
SOL,86.21,HOLD,SOL/USDT,Unknown
SYRUP,0.216,HOLD,SYRUP/USDT,Unknown
GEOD,0.1357,HOLD,GEOD/USDT,Unknown
KMNO,0.0204,HOLD,KMNO/USDT,Unknown
ETHFI,0.38,HOLD,ETHFI/USDT,Unknown
RETH,2316.5,HOLD,RETH/USDT,Unknown
CBETH,2395.82,HOLD,CBETH/USDT,Unknown
AERO,0.4342,HOLD,AERO/USDT,Unknown
MORPHO,2.337,HOLD,MORPHO/USDT,Unknown
LINK,9.615,HOLD,LINK/USDT,Unknown
VIRTUAL,0.7356,HOLD,VIRTUAL/USDT,Unknown
LQTY,0.254,HOLD,LQTY/USDT,Unknown
COW,0.1646,HOLD,COW/USDT,Unknown
FLUID,1.619,HOLD,FLUID/USDT,Unknown
JUP,0.2036,HOLD,JUP/USDT,Unknown
RUNE,0.462,HOLD,RUNE/USDT,Unknown
CETUS,0.0256,HOLD,CETUS/USDT,Unknown
SUI,1.0537,HOLD,SUI/USDT,Unknown
LDO,0.3509,HOLD,LDO/USDT,Unknown
OKB,52.5,HOLD,OKB/USDT,Unknown
BNB,670.1,HOLD,BNB/USDT,Unknown
GMX,6.73,HOLD,GMX/USDT,Unknown
DRIFT,0.03409,HOLD,DRIFT/USDT,Unknown
PAXG,4537.0,HOLD,PAXG/USDT,Unknown
CRV,0.2277,HOLD,CRV/USDT,Unknown
AR,14.5,HOLD,AR/USDT,Unknown
INJ,5.697,CAUTIOUS HOLD,INJ/USDT,Unknown
SKY,0.07052,CAUTIOUS HOLD,SKY/USDT,Unknown
ENS,6.4,CAUTIOUS HOLD,ENS/USDT,Unknown
ACX,0.0414,CAUTIOUS HOLD,ACX/USDT,Unknown
AVAX,9.457,CAUTIOUS HOLD,AVAX/USDT,Unknown
NEAR,2.657,CAUTIOUS HOLD,NEAR/USDT,Unknown
BANANA,3.879,CAUTIOUS HOLD,BANANA/USDT,Unknown
BGB,5.2,CAUTIOUS HOLD,BGB/USDT,Unknown
ARB,0.1092,CAUTIOUS HOLD,ARB/USDT,Unknown
JTO,0.503,CAUTIOUS HOLD,JTO/USDT,Unknown
PENDLE,1.945,CAUTIOUS HOLD,PENDLE/USDT,Unknown
SAFE,0.1456,CAUTIOUS HOLD,SAFE/USDT,Unknown
SNX,0.324,CAUTIOUS HOLD,SNX/USDT,Unknown
RAY,0.764,CAUTIOUS HOLD,RAY/USDT,Unknown
OLAS,0.78,CAUTIOUS HOLD,OLAS/USDT,Unknown
AKT,0.8803,CAUTIOUS HOLD,AKT/USDT,Unknown
GNO,117.82,CAUTIOUS HOLD,GNO/USDT,Unknown
TAO,270.5,CAUTIOUS HOLD,TAO/USDT,Unknown
RENDER,2.208,CAUTIOUS HOLD,RENDER/USDT,Unknown
BERA,0.3821,CAUTIOUS HOLD,BERA/USDT,Unknown
LEO,8.85,CAUTIOUS HOLD,LEO/USDT,Unknown
TRX,0.3726,CAUTIOUS HOLD,TRX/USDT,Unknown
OP,0.1306,CAUTIOUS HOLD,OP/USDT,Unknown
